tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
imdb.com/title/tt0842926,7.0,129701,The Kids Are All Right,The Kids Are All Right,2010,106,"Comedy,Drama,Romance"
imdb.com/title/tt1172570,7.0,128967,Bronson,Bronson,2008,92,"Action,Biography,Crime"
imdb.com/title/tt2937898,7.0,71244,A Most Violent Year,A Most Violent Year,2014,125,"Action,Crime,Drama"
imdb.com/title/tt0139809,7.0,71132,The Thirteenth Floor,The Thirteenth Floor,1999,100,"Mystery,Sci-Fi,Thriller"
imdb.com/title/tt2990140,7.0,71272,The Christmas Chronicles,The Christmas Chronicles,2018,104,"Adventure,Comedy,Family"
imdb.com/title/tt1355631,7.0,73044,The Infiltrator,The Infiltrator,2016,127,"Biography,Crime,Drama"
imdb.com/title/tt0113540,7.0,77603,Kids,Kids,1995,91,Drama
imdb.com/title/tt1840417,7.0,77603,The Words,The Words,2012,102,"Drama,Mystery,Romance"
imdb.com/title/tt3007512,7.0,74700,The Water Diviner,The Water Diviner,2014,111,"Drama,History,War"
imdb.com/title/tt8097030,7.0,74567,Turning Red,Turning Red,2022,100,"Adventure,Animation,Comedy"
imdb.com/title/tt0120631,7.0,74512,Ever After: A Cinderella Story,Ever After,1998,121,"Comedy,Drama,Romance"
imdb.com/title/tt0493430,7.0,73871,Jackass Number Two,Jackass Number Two,2006,92,"Action,Comedy,Documentary"
imdb.com/title/tt4954522,7.0,73685,Raw,Grave,2016,99,"Drama,Horror"
imdb.com/title/tt1990314,7.0,63771,Robot & Frank,Robot & Frank,2012,89,"Comedy,Crime,Drama"
